model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	4344.89743	21	206.8998776
resnet50	25	1	4144.762506	500	8.289525011
vgg19	10	16	4435.838837	20	221.7919418
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	9329.682388	44	212.0382361
resnet50	25	4	9141.40819	500	18.28281638
vgg19	10	16	9421.362366	42	224.3181516
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	15642.32443	73	214.2784169
resnet50	25	8	15334.95727	500	30.66991455
vgg19	10	16	15771.64662	70	225.3092375
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	16	25500.78726	115	221.7459762
resnet50	25	16	25164.50034	500	50.32900068
vgg19	10	16	25544.43381	111	230.1300343
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	3642.163036	86	42.35073298
resnet50	50	1	3610.495429	500	7.220990858
vgg19	10	1	3728.092028	121	30.81067791
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	5356.17271	112	47.82297063
resnet50	50	4	5279.435655	500	10.55887131
vgg19	10	1	5436.879427	166	32.7522857
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8981.605213	176	51.0318478
resnet50	50	8	8925.909122	500	17.85181824
vgg19	10	1	9110.085915	266	34.24844329
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	15171.81634	270	56.19191238
resnet50	50	16	15167.26442	500	30.33452884
vgg19	10	1	15365.57769	409	37.56864961
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	3619.737186	87	41.60617456
resnet50	50	1	3577.341759	500	7.154683518
vgg19	10	4	3726.5989	33	112.9272394
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	5295.601551	112	47.28215671
resnet50	50	4	5222.509597	500	10.44501919
vgg19	10	4	5408.058388	45	120.1790753
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8892.808212	176	50.52731939
resnet50	50	8	8871.978622	500	17.74395724
vgg19	10	4	9043.779053	72	125.6080424
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	15064.38609	271	55.58814055
resnet50	50	16	15078.44009	500	30.15688018
vgg19	10	4	15327.89678	112	136.8562213
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	3644.483017	88	41.41457974
resnet50	50	1	3602.376671	500	7.204753343
vgg19	10	8	3880.074524	21	184.7654535
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	5228.423122	111	47.10291101
resnet50	50	4	5186.536963	500	10.37307393
vgg19	10	8	5474.512604	28	195.5183073
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8844.186024	176	50.25105695
resnet50	50	8	8829.095076	500	17.65819015
vgg19	10	8	9150.089905	45	203.3353312
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	15002.08695	271	55.35825442
resnet50	50	16	15039.83729	500	30.07967458
vgg19	10	8	15257.91412	69	221.1291902
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	3593.546825	86	41.7854282
resnet50	50	1	3531.717282	500	7.063434564
vgg19	10	16	3768.17363	17	221.6572723
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	5281.81258	111	47.58389712
resnet50	50	4	5239.560763	500	10.47912153
vgg19	10	16	5402.145706	23	234.8759003
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	8885.178299	176	50.48396761
resnet50	50	8	8868.235537	500	17.73647107
vgg19	10	16	9240.613251	38	243.1740329
model name	gpu resource	batchsize	total latency	real exec times	avg latency
densenet201	10	1	15093.17245	270	55.90063872
resnet50	50	16	15136.21607	500	30.27243215
vgg19	10	16	15334.90509	58	264.3949154
model name	gpu resource	batchsize	total latency	real exec times	avg latency
