model1 name,gpu1,batch1,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model2 name,gpu2,batch2,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency,,model3 name,gpu3,batch3,total latency,exec times,avg latency,L1RL2,L1WL2,L2RD,L2WD,L2Hit,L2Miss,single latency
densenet201,10,16,58973.203552246094,286,206.20001242044088,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,16,58756.55684661865,500,117.5131136932373,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,8,59429.067474365234,325,182.85866915189303,495440643,105059072,131867439,98650634,480482103,131831978,230.2151921,
densenet201,10,16,9626.465621948242,47,204.81841748826048,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,1,9377.440996170044,500,18.75488199234009,23604380,7624504,11046963,2575651,21644293,11036224,11.58325181,,vgg19,10,16,9629.441177368164,44,218.85093584927645,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,16,21974.941864013672,107,205.3732884487259,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,4,21792.510257720947,500,43.5850205154419,72690810,21530096,32597296,12389470,64343781,32727111,34.03479256,,vgg19,10,16,22082.79234313965,101,218.64150834791732,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,16,37219.15579223633,181,205.6306949847311,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,8,36816.83303833008,500,73.63366607666016,131135768,46808895,69264417,35748489,114775007,68733229,66.59814789,,vgg19,10,16,37417.52780151367,171,218.8159520556355,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,16,59270.62747192383,286,207.23995619553787,399345355,182975984,295435973,141117653,304906266,295669076,196.3176076,,resnet50,10,16,58998.38121032715,500,117.99676242065429,243910411,94433649,153606997,80600169,195183668,153556385,109.1965959,,vgg19,10,16,59593.248626708984,271,219.9012864454206,571446308,209071721,222473102,201490841,570160058,222409145,267.4129953,
densenet201,10,1,4196.076324462891,99,42.384609338009,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,20,1,4124.749958992004,500,8.249499917984009,23573288,7621525,11018137,2042096,21504978,11011967,7.173475184,,vgg19,10,1,4288.8734703063965,142,30.20333429793237,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,8991.224555969238,202,44.51101265331306,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,20,4,8968.698305130005,500,17.93739661026001,72537183,21523574,31324130,12830951,65266307,31341965,18.54637262,,vgg19,10,1,9148.412197113037,299,30.59669631141484,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,15060.271053314209,336,44.82223527772086,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,20,8,15112.52014541626,500,30.22504029083252,130973464,46792467,67603139,34264924,115268922,68159619,35.36693748,,vgg19,10,1,15316.590925216675,498,30.75620667714192,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,15516.683277130127,333,46.59664647786825,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,20,16,15599.159336090088,316,49.3644282787661,243932345,94396398,156094303,79468666,191635858,156394846,57.42509502,,vgg19,10,1,15754.989734649658,500,31.509979469299317,82015702,10675579,46541866,7562862,48121837,46589034,28.13270403,
densenet201,10,1,4195.381462097168,100,41.95381462097168,33748376,11919659,14975334,785493,33699656,14956290,21.26761183,,resnet50,20,1,4130.224118709564,500,8.260448237419128,23573288,7621525,11018137,2042096,21504978,11011967,7.173475184,,vgg19,10,4,4355.304359436035,39,111.67447075477013,273017207,29326083,135791214,25494581,172553377,135944096,101.4805739,
